Year,Studio,1 Bedroom,2 Bedroom,3 Bedroom+,Total
1990,362,542,597,716,602
1991,423,557,628,769,634
1992,421,565,640,781,643
1993,501,596,686,837,688
1994,537,620,691,832,698
1995,505,641,711,849,719
1996,531,651,736,882,737
1997,580,665,751,905,756
1998,583,722,802,930,801
1999,571,750,838,978,835
2000,617,768,876,1010,868
2001,595,790,878,1028,878
2002,673,823,935,1077,927
2003,662,821,931,1081,927
2004,660,819,947,1111,938
2005,665,835,938,1082,932
2006,721,849,958,1066,940
2007,704,877,1002,1113,983
2008,833,889,993,1171,989
2009,721,878,989,1172,990
2010,848,929,1060,1223,1050
2011,868,967,1097,1261,1088
2012,897,986,1123,1286,1107
2013,930,1020,1154,1333,1140
2014,933,1077,1203,1371,1190
2015,859,1123,1266,1422,1249
2016,909,1158,1290,1476,1275
2017,897,1240,1365,1552,1357
2018,1456,1282,1405,1545,1394
2019,1047,1350,1511,1606,1475
2020,1216,1461,1623,1640,1573
2021,1237,1441,1631,1691,1584
2022,1185,1533,1757,1772,1688
2023,1196,1613,1823,1804,1761
2024,1441,1726,1993,2112,1929
2025,1539,1744,2050,2196,1977
