Year,Studio,1 Bedroom,2 Bedroom,3 Bedroom+,Total
1990,432,546,649,816,639
1991,464,592,728,913,713
1992,467,603,722,933,709
1993,499,617,755,924,736
1994,494,645,776,945,755
1995,498,664,814,990,790
1996,543,689,830,1025,811
1997,523,699,842,1023,816
1998,593,765,919,1091,886
1999,622,806,916,1121,905
2000,653,840,973,1145,945
2001,666,864,1032,1152,983
2002,703,898,1043,1241,1010
2003,703,917,1058,1249,1039
2004,724,918,1073,1182,1032
2005,731,905,1064,1227,1029
2006,728,924,1081,1212,1053
2007,755,951,1099,1243,1057
2008,761,953,1126,1240,1082
2009,769,979,1136,1292,1102
2010,790,980,1147,1298,1104
2011,775,997,1177,1345,1133
2012,855,1081,1250,1406,1207
2013,886,1099,1275,1432,1224
2014,912,1131,1312,1496,1269
2015,930,1157,1350,1548,1301
2016,977,1214,1412,1632,1372
2017,984,1257,1456,1764,1421
2018,1047,1310,1498,1719,1454
2019,1123,1387,1592,1972,1562
2020,1172,1472,1746,2062,1694
2021,1230,1489,1801,1959,1713
2022,1161,1542,1896,1939,1783
2023,1299,1680,1980,2386,1925
2024,1317,1888,2226,2297,2116
2025,1477,1915,2309,2385,2192
