Year,Studio,1 Bedroom,2 Bedroom,3 Bedroom+,Total
1990,,,,,
1991,6.1,,,,
1992,3.7,,6.8,,5.7
1993,,7.0,4.0,,4.5
1994,4.9,4.7,4.0,4.1,4.6
1995,0.0,0.0,2.7,4.7,
1996,3.0,4.1,2.5,4.1,2.9
1997,4.8,0.0,2.0,0.0,2.0
1998,2.7,4.8,,,5.2
1999,,3.4,2.5,,3.1
2000,7.9,6.5,6.2,,6.3
2001,6.0,7.4,8.7,,7.8
2002,,,,,
2003,,3.4,,,
2004,0.0,0.0,0.0,0.0,0.0
2005,0.0,0.0,0.0,,0.0
2006,0.0,,4.0,,3.3
2007,0.0,0.0,1.1,0.0,1.2
2008,4.1,4.4,2.4,0.0,3.7
2009,3.2,2.6,4.5,3.1,
2010,0.0,1.7,0.0,2.3,1.6
2011,,0.0,0.0,1.1,0.0
2012,0.0,0.0,3.5,0.0,2.2
2013,4.2,3.4,3.0,3.8,3.2
2014,1.8,4.4,4.4,,4.1
2015,1.4,2.9,2.5,2.7,2.6
2016,0.0,,,3.6,
2017,5.6,3.5,3.4,,3.4
2018,,4.1,3.8,3.3,3.8
2019,,3.8,3.0,0.0,2.9
2020,4.4,,5.9,,
2021,4.1,,2.0,0.0,1.7
2022,4.4,5.2,4.4,3.4,4.7
2023,,,,0.0,
2024,0.0,,0.0,,
2025,,0.0,0.0,0.0,0.0
