Year,Studio,1 Bedroom,2 Bedroom,3 Bedroom+,Total
1990,,,,,
1991,4.9,5.6,5.2,,5.1
1992,0.0,3.9,3.9,5.7,3.9
1993,,2.7,2.5,2.9,2.7
1994,0.0,0.0,2.6,0.0,1.7
1995,0.0,0.0,1.1,3.7,1.2
1996,,0.0,1.6,0.9,0.0
1997,0.0,0.0,0.0,0.0,1.3
1998,,2.7,2.2,2.7,2.3
1999,5.3,2.5,2.2,3.0,2.5
2000,3.1,3.6,4.4,2.6,3.8
2001,5.8,3.8,3.8,3.2,3.6
2002,4.9,4.6,4.2,4.0,4.3
2003,2.7,2.0,1.3,2.7,1.7
2004,,2.1,2.8,,2.6
2005,2.4,2.2,1.9,2.5,1.9
2006,2.4,2.9,2.7,4.0,2.8
2007,5.0,1.7,1.7,0.0,1.5
2008,2.3,1.9,2.1,3.1,1.7
2009,4.0,2.4,2.3,3.9,2.5
2010,1.9,2.2,2.0,2.6,2.1
2011,2.0,1.8,1.7,1.8,1.9
2012,1.8,2.4,2.5,4.4,2.6
2013,0.0,2.0,2.5,3.1,2.2
2014,,1.9,1.5,1.6,1.8
2015,3.7,2.5,3.1,2.2,2.8
2016,,3.8,3.9,4.2,3.8
2017,0.0,3.2,3.1,2.9,2.9
2018,4.7,4.7,5.5,,5.0
2019,6.1,5.3,4.5,0.0,4.8
2020,4.2,4.8,5.2,,4.7
2021,,5.9,5.4,2.9,5.8
2022,10.6,6.9,7.5,5.4,6.4
2023,,11.8,9.4,11.3,10.4
2024,0.0,4.3,5.0,5.3,4.4
2025,4.6,2.3,2.7,4.6,2.5
