Year,Studio,1 Bedroom,2 Bedroom,3 Bedroom+,Total
1990,,,,,
1991,,,,,
1992,,,,,
1993,,,,,
1994,,,,,
1995,,,,,
1996,,,,,
1997,,,,,
1998,6.4,7.0,7.0,6.9,6.7
1999,6.8,5.5,5.2,4.7,5.1
2000,8.0,9.2,9.2,9.5,8.8
2001,6.3,6.4,6.6,,6.2
2002,4.6,2.5,2.3,2.6,2.8
2003,0.0,0.0,0.9,0.0,0.0
2004,0.0,0.0,0.0,0.0,0.0
2005,0.0,0.4,1.1,1.3,0.6
2006,0.8,0.8,1.1,1.2,1.1
2007,2.1,1.2,1.0,1.2,1.2
2008,2.1,1.6,1.5,1.5,1.5
2009,1.6,2.0,2.4,2.6,2.1
2010,1.8,1.6,1.9,2.5,1.8
2011,2.2,1.6,1.9,1.0,1.8
2012,3.1,2.9,2.8,3.0,2.8
2013,3.7,3.2,2.9,3.3,3.1
2014,2.3,2.7,2.6,2.2,2.6
2015,3.4,3.4,3.5,2.7,3.3
2016,3.0,3.5,3.2,2.0,3.2
2017,4.8,4.5,4.3,4.9,4.5
2018,6.9,6.1,5.2,5.2,5.5
2019,7.4,7.3,6.2,5.4,6.6
2020,4.5,4.5,4.3,,4.6
2021,0.0,0.7,1.0,1.0,0.7
2022,6.6,6.3,6.8,7.1,6.4
2023,8.6,9.4,8.7,6.2,9.2
2024,6.0,3.3,2.4,2.8,2.3
2025,2.9,3.0,3.2,3.6,3.0
