Ajax (T) — Historical Average Rents by Bedroom Type  
1990 to 2025 Row / Apartment October
,Studio,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,**,,452,a ,638,a ,748,a ,648,a ,
1991 October,**,,514,a ,697,a ,816,a ,709,a ,
1992 October,**,,539,a ,721,a ,838,b ,728,a ,
1993 October,**,,585,a ,741,a ,882,a ,761,a ,
1994 October,**,,594,a ,764,a ,848,a ,769,a ,
1995 October,**,,552,a ,756,a ,820,a ,755,a ,
1996 October,**,,576,a ,771,a ,854,a ,775,a ,
1997 October,**,,575,a ,761,a ,851,a ,769,a ,
1998 October,**,,633,a ,798,a ,886,a ,812,a ,
1999 October,**,,575,a ,800,a ,894,a ,802,a ,
2000 October,**,,676,a ,860,a ,945,a ,861,a ,
2001 October,**,,643,a ,861,a ,971,a ,871,a ,
2002 October,**,,735,a ,903,a ,"1,008",a ,909,a ,
2003 October,**,,740,a ,"1,016",a ,"1,169",a ,"1,018",a ,
2004 October,**,,740,a ,"1,016",a ,"1,151",a ,"1,027",a ,
2005 October,**,,768,a ,969,a ,"1,068",a ,978,a ,
2006 October,**,,737,a ,940,a ,"1,128",a ,959,a ,
2007 October,**,,716,a ,899,a ,974,a ,904,a ,
2008 October,**,,776,a ,967,a ,"1,070",a ,963,a ,
2009 October,**,,796,a ,934,a ,"1,011",b ,938,a ,
2010 October,**,,801,a ,991,a ,"1,099",a ,"1,005",a ,
2011 October,**,,**,,"1,035",a ,"1,077",b ,"1,039",a ,
2012 October,**,,**,,"1,050",a ,"1,105",a ,"1,064",a ,
2013 October,**,,818,a ,"1,027",a ,"1,248",a ,"1,067",a ,
2014 October,**,,882,a ,"1,094",a ,"1,255",a ,"1,115",a ,
2015 October,**,,902,a ,"1,094",a ,"1,319",a ,"1,128",a ,
2016 October,**,,**,,"1,212",a ,"1,272",b ,"1,232",b ,
2017 October,**,,976,a ,"1,105",a ,"1,250",a ,"1,127",a ,
2018 October,**,,963,a ,"1,248",a ,"1,378",a ,"1,254",a ,
2019 October,**,,989,a ,"1,237",a ,"1,516",a ,"1,241",a ,
2020 October,**,,"1,258",b ,"1,362",a ,"1,481",a ,"1,390",a ,
2021 October,**,,965,a ,"1,302",b ,"1,556",a ,"1,291",b ,
2022 October,**,,"1,265",d ,"1,532",a ,"1,607",a ,"1,547",a ,
2023 October,**,,"1,456",b ,"1,809",a ,"2,224",b ,"1,879",b ,
2024 October,**,,"1,115",b ,"1,645",a ,"1,794",a ,"1,649",a ,
2025 October,**,,"1,216",b ,"1,727",a ,"1,870",a ,"1,740",a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
