Cambridge (CY) — Historical Average Rents by Bedroom Type  
1990 to 2025 Row / Apartment October
,Studio,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,333,a ,419,a ,470,a ,599,b ,471,a ,
1991 October,419,d ,488,b ,525,a ,705,b ,541,a ,
1992 October,**,,532,c ,557,a ,704,b ,569,a ,
1993 October,378,a ,466,a ,553,a ,697,a ,559,a ,
1994 October,364,b ,486,a ,551,a ,729,b ,565,a ,
1995 October,369,b ,490,a ,572,a ,707,a ,571,a ,
1996 October,390,b ,512,a ,581,a ,703,a ,578,a ,
1997 October,402,b ,520,a ,591,a ,707,b ,582,a ,
1998 October,420,a ,530,a ,606,a ,701,a ,592,a ,
1999 October,421,a ,539,a ,616,a ,712,b ,603,a ,
2000 October,452,a ,566,a ,636,a ,690,a ,619,a ,
2001 October,459,a ,592,a ,661,a ,722,a ,643,a ,
2002 October,485,b ,622,a ,682,a ,750,a ,670,a ,
2003 October,506,a ,621,a ,693,a ,761,a ,676,a ,
2004 October,499,a ,624,a ,695,a ,766,a ,681,a ,
2005 October,506,a ,669,a ,763,a ,773,a ,736,a ,
2006 October,527,a ,679,a ,784,a ,789,a ,755,a ,
2007 October,531,a ,691,a ,830,a ,859,a ,797,a ,
2008 October,541,a ,717,a ,821,a ,845,a ,796,a ,
2009 October,566,a ,717,a ,834,a ,865,a ,806,a ,
2010 October,587,a ,745,a ,861,a ,896,a ,835,a ,
2011 October,588,a ,757,a ,869,a ,879,a ,842,a ,
2012 October,598,a ,769,a ,886,a ,904,a ,857,a ,
2013 October,613,a ,809,a ,934,a ,950,a ,901,a ,
2014 October,639,a ,815,a ,992,a ,959,a ,943,a ,
2015 October,670,a ,855,a ,978,a ,"1,007",a ,944,a ,
2016 October,707,a ,883,a ,"1,039",a ,"1,010",a ,995,a ,
2017 October,714,a ,923,a ,"1,056",a ,977,a ,"1,013",a ,
2018 October,725,a ,965,a ,"1,142",a ,"1,049",a ,"1,086",a ,
2019 October,763,b ,"1,029",a ,"1,178",a ,"1,076",b ,"1,128",a ,
2020 October,767,b ,"1,073",a ,"1,242",a ,"1,213",c ,"1,193",a ,
2021 October,846,b ,"1,096",a ,"1,311",a ,"1,130",b ,"1,237",a ,
2022 October,952,d ,"1,177",a ,"1,402",a ,"1,115",b ,"1,319",a ,
2023 October,"1,243",b ,"1,220",a ,"1,512",a ,**,,"1,407",a ,
2024 October,**,,"1,630",b ,"1,819",a ,"1,109",c ,"1,732",b ,
2025 October,**,,"1,697",b ,"1,918",a ,**,,"1,857",a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
