Hamilton (C) — Historical Average Rents by Bedroom Type  
2001 to 2025 Row / Apartment October
,Studio,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
2001 October,451,a ,578,a ,699,a ,857,a ,642,a ,
2002 October,472,a ,594,a ,719,a ,888,a ,661,a ,
2003 October,490,a ,604,a ,735,a ,890,a ,674,a ,
2004 October,503,a ,614,a ,750,a ,897,a ,689,a ,
2005 October,487,a ,611,a ,746,a ,886,a ,685,a ,
2006 October,482,a ,613,a ,751,a ,897,a ,690,a ,
2007 October,499,a ,622,a ,762,a ,921,a ,699,a ,
2008 October,498,a ,634,a ,778,a ,926,a ,711,a ,
2009 October,504,a ,639,a ,767,a ,893,a ,707,a ,
2010 October,503,a ,653,a ,787,a ,938,a ,725,a ,
2011 October,525,a ,664,a ,795,a ,941,a ,731,a ,
2012 October,538,a ,690,a ,821,a ,957,a ,759,a ,
2013 October,559,a ,720,a ,865,a ,986,a ,794,a ,
2014 October,573,a ,740,a ,885,a ,"1,009",a ,813,a ,
2015 October,590,a ,749,a ,919,a ,"1,019",a ,836,a ,
2016 October,655,b ,812,a ,966,a ,"1,096",a ,901,a ,
2017 October,632,b ,845,a ,"1,030",a ,"1,129",a ,944,a ,
2018 October,746,a ,916,a ,"1,085",a ,"1,257",a ,"1,009",a ,
2019 October,814,a ,963,a ,"1,130",a ,"1,283",a ,"1,055",a ,
2020 October,867,a ,"1,033",a ,"1,184",a ,"1,350",a ,"1,118",a ,
2021 October,915,a ,"1,095",a ,"1,271",a ,"1,479",a ,"1,190",a ,
2022 October,920,a ,"1,142",a ,"1,335",a ,"1,450",a ,"1,242",a ,
2023 October,"1,017",a ,"1,326",a ,"1,545",a ,"1,645",a ,"1,431",a ,
2024 October,"1,021",a ,"1,361",a ,"1,520",a ,"1,693",a ,"1,438",a ,
2025 October,"1,053",b ,"1,343",a ,"1,528",a ,"1,677",a ,"1,439",a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
