Oakville (T) — Historical Average Rents by Bedroom Type  
1990 to 2025 Row / Apartment October
,Studio,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,432,a ,546,a ,649,a ,816,a ,639,a ,
1991 October,464,a ,592,a ,728,a ,913,a ,713,a ,
1992 October,467,a ,603,a ,722,a ,933,a ,709,a ,
1993 October,499,a ,617,a ,755,a ,924,a ,736,a ,
1994 October,494,a ,645,a ,776,a ,945,a ,755,a ,
1995 October,498,b ,664,a ,814,a ,990,a ,790,a ,
1996 October,543,a ,689,a ,830,a ,"1,025",a ,811,a ,
1997 October,523,a ,699,a ,842,a ,"1,023",a ,816,a ,
1998 October,593,a ,765,a ,919,a ,"1,091",a ,886,a ,
1999 October,622,a ,806,a ,916,a ,"1,121",c ,905,a ,
2000 October,653,a ,840,a ,973,a ,"1,145",a ,945,a ,
2001 October,666,a ,864,a ,"1,032",a ,"1,152",b ,983,a ,
2002 October,703,a ,898,a ,"1,043",a ,"1,241",a ,"1,010",a ,
2003 October,703,a ,917,a ,"1,058",a ,"1,249",a ,"1,039",a ,
2004 October,724,a ,918,a ,"1,073",a ,"1,182",a ,"1,032",a ,
2005 October,731,a ,905,a ,"1,064",a ,"1,227",a ,"1,029",a ,
2006 October,728,a ,924,a ,"1,081",a ,"1,212",a ,"1,053",a ,
2007 October,755,a ,951,a ,"1,099",a ,"1,243",a ,"1,057",a ,
2008 October,761,a ,953,a ,"1,126",a ,"1,240",a ,"1,082",a ,
2009 October,769,a ,979,a ,"1,136",a ,"1,292",a ,"1,102",a ,
2010 October,790,a ,980,a ,"1,147",a ,"1,298",a ,"1,104",a ,
2011 October,775,a ,997,a ,"1,177",a ,"1,345",a ,"1,133",a ,
2012 October,855,a ,"1,081",a ,"1,250",a ,"1,406",a ,"1,207",a ,
2013 October,886,a ,"1,099",a ,"1,275",a ,"1,432",b ,"1,224",a ,
2014 October,912,a ,"1,131",a ,"1,312",a ,"1,496",a ,"1,269",a ,
2015 October,930,a ,"1,157",a ,"1,350",a ,"1,548",b ,"1,301",a ,
2016 October,977,b ,"1,214",a ,"1,412",a ,"1,632",b ,"1,372",a ,
2017 October,984,a ,"1,257",a ,"1,456",a ,"1,764",b ,"1,421",a ,
2018 October,"1,047",a ,"1,310",a ,"1,498",a ,"1,719",b ,"1,454",a ,
2019 October,"1,123",a ,"1,387",a ,"1,592",a ,"1,972",a ,"1,562",a ,
2020 October,"1,172",a ,"1,472",a ,"1,746",a ,"2,062",a ,"1,694",a ,
2021 October,"1,230",a ,"1,489",a ,"1,801",a ,"1,959",a ,"1,713",a ,
2022 October,"1,161",b ,"1,542",a ,"1,896",a ,"1,939",a ,"1,783",a ,
2023 October,"1,299",c ,"1,680",a ,"1,980",a ,"2,386",b ,"1,925",a ,
2024 October,"1,317",a ,"1,888",a ,"2,226",a ,"2,297",b ,"2,116",a ,
2025 October,"1,477",a ,"1,915",a ,"2,309",b ,"2,385",b ,"2,192",b ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
