Peterborough (CY) — Historical Average Rents by Bedroom Type  
1990 to 2025 Row / Apartment October
,Studio,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,333,a ,477,a ,563,a ,627,a ,539,a ,
1991 October,384,b ,509,a ,602,a ,649,a ,574,a ,
1992 October,404,b ,531,a ,613,a ,673,a ,594,a ,
1993 October,398,b ,544,a ,635,a ,682,a ,609,a ,
1994 October,338,d ,542,a ,643,a ,693,a ,611,a ,
1995 October,**,,541,a ,641,a ,692,a ,611,a ,
1996 October,353,c ,556,a ,646,a ,696,a ,616,a ,
1997 October,332,d ,548,a ,626,a ,673,a ,601,a ,
1998 October,352,d ,565,a ,667,a ,730,a ,635,a ,
1999 October,379,c ,569,a ,678,a ,748,a ,643,a ,
2000 October,376,d ,557,a ,680,a ,756,a ,640,a ,
2001 October,**,,590,a ,695,a ,779,a ,663,a ,
2002 October,378,c ,600,a ,715,a ,809,a ,677,a ,
2003 October,399,c ,610,a ,725,a ,845,a ,692,a ,
2004 October,440,c ,669,a ,771,a ,884,a ,742,a ,
2005 October,457,b ,686,a ,794,a ,895,a ,758,a ,
2006 October,451,c ,690,a ,816,a ,952,a ,779,a ,
2007 October,503,b ,703,a ,820,a ,951,a ,783,a ,
2008 October,523,b ,713,a ,847,a ,"1,007",a ,803,a ,
2009 October,514,b ,743,a ,874,a ,"1,017",a ,832,a ,
2010 October,525,b ,740,a ,887,a ,"1,027",a ,843,a ,
2011 October,553,b ,763,a ,895,a ,"1,081",a ,858,a ,
2012 October,569,b ,769,a ,900,a ,"1,053",a ,863,a ,
2013 October,621,a ,775,a ,915,a ,"1,061",a ,879,a ,
2014 October,635,a ,801,a ,949,a ,"1,064",a ,905,a ,
2015 October,666,a ,813,a ,957,a ,"1,107",a ,921,a ,
2016 October,688,a ,828,a ,980,a ,"1,098",a ,935,a ,
2017 October,700,a ,846,a ,989,a ,"1,155",a ,950,a ,
2018 October,727,a ,910,a ,"1,079",a ,"1,260",a ,"1,031",a ,
2019 October,785,a ,936,a ,"1,107",a ,"1,297",a ,"1,061",a ,
2020 October,819,a ,987,a ,"1,189",a ,"1,358",a ,"1,129",a ,
2021 October,805,a ,"1,050",a ,"1,312",a ,"1,368",b ,"1,214",a ,
2022 October,875,a ,"1,084",a ,"1,343",a ,"1,511",a ,"1,254",a ,
2023 October,875,a ,"1,164",a ,"1,404",a ,"1,517",b ,"1,319",a ,
2024 October,955,a ,"1,208",a ,"1,505",a ,"1,658",a ,"1,400",a ,
2025 October,988,b ,"1,236",a ,"1,518",a ,"1,736",a ,"1,427",a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
