St. Catharines (CY) — Historical Average Rents by Bedroom Type  
1990 to 2025 Row / Apartment October
,Studio,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,340,a ,444,a ,540,a ,599,a ,502,a ,
1991 October,344,a ,480,a ,568,a ,645,a ,535,a ,
1992 October,366,a ,496,a ,594,a ,665,a ,560,a ,
1993 October,374,a ,509,a ,606,a ,692,a ,570,a ,
1994 October,375,a ,507,a ,620,a ,705,a ,577,a ,
1995 October,389,a ,512,a ,620,a ,731,a ,582,a ,
1996 October,372,a ,512,a ,632,a ,726,a ,589,a ,
1997 October,383,a ,516,a ,635,a ,729,a ,592,a ,
1998 October,378,a ,537,a ,644,a ,742,a ,604,a ,
1999 October,400,a ,547,a ,656,a ,762,a ,614,a ,
2000 October,412,a ,563,a ,682,a ,767,a ,635,a ,
2001 October,437,a ,587,a ,704,a ,814,a ,659,a ,
2002 October,457,a ,607,a ,730,a ,837,a ,682,a ,
2003 October,458,a ,619,a ,739,a ,874,b ,699,a ,
2004 October,469,a ,637,a ,765,a ,862,a ,718,a ,
2005 October,481,a ,651,a ,774,a ,886,a ,732,a ,
2006 October,502,a ,664,a ,798,a ,919,a ,750,a ,
2007 October,516,a ,675,a ,807,a ,915,a ,759,a ,
2008 October,545,a ,687,a ,818,a ,923,a ,767,a ,
2009 October,549,a ,706,a ,847,a ,963,a ,794,a ,
2010 October,556,a ,722,a ,863,a ,"1,032",a ,811,a ,
2011 October,587,a ,725,a ,868,a ,997,a ,820,a ,
2012 October,584,a ,749,a ,900,a ,"1,048",a ,847,a ,
2013 October,589,a ,759,a ,925,a ,"1,083",a ,867,a ,
2014 October,627,a ,778,a ,941,a ,"1,089",a ,884,a ,
2015 October,643,a ,794,a ,960,a ,"1,092",a ,899,a ,
2016 October,661,a ,831,a ,"1,005",a ,"1,158",a ,942,a ,
2017 October,661,a ,865,a ,"1,059",a ,"1,200",a ,984,a ,
2018 October,710,b ,909,a ,"1,109",a ,"1,251",a ,"1,036",a ,
2019 October,750,b ,961,a ,"1,176",a ,"1,296",a ,"1,092",a ,
2020 October,832,b ,"1,005",a ,"1,230",a ,"1,487",b ,"1,158",a ,
2021 October,829,b ,"1,070",a ,"1,273",a ,"1,379",a ,"1,197",a ,
2022 October,894,b ,"1,111",a ,"1,332",a ,"1,504",b ,"1,250",a ,
2023 October,"1,053",b ,"1,338",a ,"1,525",a ,"1,640",b ,"1,455",a ,
2024 October,996,b ,"1,363",a ,"1,601",a ,"1,675",b ,"1,512",a ,
2025 October,"1,212",c ,"1,387",a ,"1,628",a ,"1,748",b ,"1,532",a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
