Barrie (CY) — Historical % Change of Average Rents by Bedroom Type  
1990 to 2025 Row / Apartment October
,Studio,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,**,,**,,**,,**,,**,,
1991 October,**,,4.9,d ,3.3,d ,**,,3.5,d ,
1992 October,5.9,c ,++,,2.8,c ,++,,**,,
1993 October,**,,4.3,c ,3.9,d ,**,,3.7,d ,
1994 October,++,,3.3,c ,2.4,c ,++,,2.4,c ,
1995 October,3.8,d ,2.7,c ,3.8,b ,4.4,d ,3.6,c ,
1996 October,++,,1.3,d ,1.0,d ,++,,1.0,d ,
1997 October,3.7,d ,2.4,c ,2.2,b ,2.5,c ,2.3,b ,
1998 October,**,,6.5,c ,5.5,c ,5.5,d ,5.4,c ,
1999 October,3.1,d ,++,,2.3,c ,++,,1.7,c ,
2000 October,++,,4.8,d ,4.4,d ,**,,4.9,c ,
2001 October,**,,6.0,d ,4.9,d ,4.9,d ,5.2,c ,
2002 October,++,,**,,1.4,a ,++,,1.3,d ,
2003 October,++,,1.4,a ,1.9,c ,++,,1.2,d ,
2004 October,++,,++,,**,,++,,++,,
2005 October,1.3,d ,1.7,c ,1.4,d ,1.3,d ,1.2,a ,
2006 October,++,,2.1,c ,2.4,c ,**,,2.3,c ,
2007 October,++,,1.1,d ,1.3,a ,**,,1.4,d ,
2008 October,**,,4.4,d ,**,,++,,4.3,d ,
2009 October,**,,++,,1.1,a ,1.4,d ,++,,
2010 October,++,,++,,++,,1.6,c ,0.7,a ,
2011 October,1.2,a ,3.1,d ,3.0,b ,0.8,d ,2.6,b ,
2012 October,4.8,c ,1.2,a ,1.7,b ,2.1,c ,1.7,b ,
2013 October,++,,1.5,a ,1.3,a ,2.6,b ,1.3,a ,
2014 October,1.5,d ,2.6,b ,1.4,a ,3.7,c ,2.2,a ,
2015 October,1.6,c ,1.3,a ,4.3,d ,3.1,d ,2.9,b ,
2016 October,4.7,d ,3.4,b ,3.7,b ,3.8,b ,3.7,b ,
2017 October,**,,5.8,c ,4.6,b ,4.6,c ,4.8,b ,
2018 October,**,,5.2,c ,5.2,d ,**,,4.4,c ,
2019 October,**,,3.9,c ,3.8,b ,2.7,b ,4.2,b ,
2020 October,++,,5.9,c ,8.0,c ,7.8,c ,6.7,c ,
2021 October,**,,4.0,c ,2.8,b ,2.9,c ,3.6,b ,
2022 October,**,,3.7,c ,4.1,c ,5.8,d ,4.7,b ,
2023 October,++,,4.2,c ,5.3,b ,**,,5.1,b ,
2024 October,++,,8.9,c ,4.6,d ,5.6,d ,5.3,c ,
2025 October,1.4,a ,3.8,d ,4.2,c ,5.9,d ,4.0,c ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
