Brampton (CY) — Historical % Change of Average Rents by Bedroom Type  
1990 to 2025 Row / Apartment October
,Studio,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,**,,**,,**,,**,,**,,
1991 October,8.5,c ,4.3,c ,5.9,b ,7.0,c ,5.7,b ,
1992 October,3.7,d ,**,,2.8,b ,2.1,c ,2.2,c ,
1993 October,**,,2.9,c ,**,,2.7,c ,1.6,c ,
1994 October,++,,1.6,c ,1.9,b ,1.1,d ,1.9,b ,
1995 October,3.7,d ,1.8,c ,2.2,b ,2.6,b ,1.6,c ,
1996 October,**,,2.2,b ,3.2,b ,2.7,c ,3.1,b ,
1997 October,7.0,c ,1.9,b ,1.6,b ,2.5,b ,1.6,b ,
1998 October,2.0,c ,5.6,b ,5.4,b ,6.2,c ,5.7,b ,
1999 October,7.8,c ,6.2,b ,4.9,c ,5.0,d ,5.4,b ,
2000 October,4.8,d ,4.1,c ,5.7,b ,4.6,d ,4.8,b ,
2001 October,7.9,c ,6.5,b ,6.3,b ,6.8,b ,6.3,b ,
2002 October,++,,++,,1.8,c ,++,,1.3,a ,
2003 October,**,,++,,-0.9,d ,**,,++,,
2004 October,++,,++,,++,,++,,++,,
2005 October,++,,++,,-1.1,a ,++,,-0.7,b ,
2006 October,++,,-0.7,a ,0.5,a ,2.4,c ,0.4,a ,
2007 October,++,,1.1,a ,1.2,a ,++,,1.0,a ,
2008 October,++,,1.9,b ,1.9,a ,1.5,a ,1.8,a ,
2009 October,**,,1.3,a ,1.2,a ,++,,1.4,a ,
2010 October,**,,1.3,a ,2.1,b ,1.9,b ,1.7,a ,
2011 October,3.0,c ,2.0,a ,1.1,a ,0.6,a ,1.4,a ,
2012 October,2.5,a ,2.8,a ,2.8,a ,3.0,a ,2.8,a ,
2013 October,2.1,b ,2.2,a ,1.9,a ,2.3,a ,2.1,a ,
2014 October,**,,2.9,b ,3.3,c ,2.0,b ,3.0,b ,
2015 October,2.0,c ,1.6,b ,2.0,a ,1.8,a ,1.8,a ,
2016 October,2.0,c ,2.6,a ,2.6,a ,1.9,c ,2.8,a ,
2017 October,++,,2.6,b ,2.6,a ,3.3,d ,2.7,a ,
2018 October,5.8,d ,4.8,b ,5.2,b ,4.5,b ,4.7,b ,
2019 October,++,,6.3,b ,5.7,b ,3.8,c ,5.8,b ,
2020 October,++,,5.0,b ,5.2,b ,4.0,b ,5.1,a ,
2021 October,++,,3.1,d ,2.3,c ,2.5,b ,2.4,c ,
2022 October,**,,5.9,b ,5.5,b ,5.8,d ,5.7,b ,
2023 October,++,,5.3,c ,5.6,c ,++,,5.6,c ,
2024 October,++,,6.1,b ,3.7,d ,5.0,d ,3.7,c ,
2025 October,**,,2.9,b ,3.5,c ,2.9,c ,3.0,b ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
