Greater Sudbury / Grand Sudbury (CV) — Historical % Change of Average Rents by Bedroom Type  
2001 to 2025 Row / Apartment October
,Studio,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
2001 October,++,,++,,++,,1.8,c ,0.7,b ,
2002 October,++,,4.6,b ,3.4,b ,3.0,c ,3.4,b ,
2003 October,**,,1.4,a ,1.4,a ,++,,1.0,a ,
2004 October,++,,1.2,a ,0.9,d ,++,,1.2,a ,
2005 October,2.2,c ,2.8,b ,3.1,b ,3.4,d ,2.9,b ,
2006 October,3.8,c ,4.9,b ,4.8,b ,4.0,c ,4.6,b ,
2007 October,10.3,d ,7.5,c ,8.3,b ,6.8,c ,7.4,b ,
2008 October,4.2,d ,6.3,b ,5.6,b ,7.7,b ,6.9,b ,
2009 October,**,,3.4,c ,4.0,c ,3.0,d ,3.6,c ,
2010 October,**,,2.8,b ,2.9,c ,2.9,c ,2.8,b ,
2011 October,**,,++,,**,,**,,**,,
2012 October,**,,5.5,c ,4.4,c ,6.4,c ,5.3,c ,
2013 October,++,,++,,1.5,a ,++,,++,,
2014 October,++,,1.8,c ,1.7,b ,3.0,c ,2.4,b ,
2015 October,**,,2.2,c ,2.3,b ,3.0,c ,2.2,b ,
2016 October,++,,1.9,c ,2.1,c ,++,,2.0,c ,
2017 October,5.3,d ,3.4,d ,2.9,c ,**,,3.2,c ,
2018 October,++,,0.8,d ,1.1,a ,++,,++,,
2019 October,4.5,d ,8.2,c ,8.0,b ,**,,9.1,c ,
2020 October,4.8,d ,**,,2.3,c ,**,,**,,
2021 October,3.6,d ,9.5,c ,7.6,c ,**,,8.0,c ,
2022 October,**,,**,,**,,++,,**,,
2023 October,4.1,d ,5.5,d ,**,,++,,7.4,b ,
2024 October,15.4,d ,13.4,d ,11.3,d ,++,,11.4,d ,
2025 October,5.5,d ,**,,**,,**,,7.8,c ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
