Milton (T) — Historical % Change of Average Rents by Bedroom Type  
1990 to 2025 Row / Apartment October
,Studio,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,**,,**,,**,,**,,**,,
1991 October,**,,**,,5.4,d ,**,,**,,
1992 October,5.7,c ,6.9,c ,5.6,d ,**,,5.7,d ,
1993 October,4.5,d ,4.8,c ,**,,**,,4.4,d ,
1994 October,-4.2,a ,3.6,d ,5.8,c ,**,,4.9,b ,
1995 October,++,,4.0,c ,3.5,d ,**,,3.5,d ,
1996 October,++,,3.6,c ,2.3,c ,**,,2.8,b ,
1997 October,5.9,c ,-1.1,d ,++,,**,,++,,
1998 October,++,,**,,**,,**,,**,,
1999 October,8.1,c ,**,,**,,**,,**,,
2000 October,5.5,d ,**,,**,,**,,**,,
2001 October,**,,++,,++,,**,,++,,
2002 October,**,,**,,**,,**,,**,,
2003 October,**,,**,,++,,**,,**,,
2004 October,**,,++,,++,,**,,++,,
2005 October,++,,++,,0.6,b ,**,,0.6,b ,
2006 October,1.9,c ,2.2,b ,3.1,c ,**,,2.7,b ,
2007 October,-5.7,d ,**,,++,,**,,++,,
2008 October,14.9,d ,**,,++,,**,,++,,
2009 October,**,,2.0,c ,5.0,c ,**,,4.5,c ,
2010 October,**,,++,,++,,**,,++,,
2011 October,**,,2.1,c ,2.7,c ,**,,2.5,c ,
2012 October,**,,4.1,d ,3.9,d ,**,,4.0,d ,
2013 October,**,,1.0,d ,++,,**,,++,,
2014 October,**,,3.1,c ,3.2,c ,**,,3.2,c ,
2015 October,++,,3.8,d ,3.8,c ,**,,3.6,c ,
2016 October,**,,++,,++,,**,,++,,
2017 October,**,,3.1,d ,3.8,b ,**,,3.6,c ,
2018 October,**,,++,,++,,**,,++,,
2019 October,**,,**,,**,,**,,**,,
2020 October,**,,4.7,d ,5.6,d ,**,,4.9,d ,
2021 October,**,,2.9,b ,++,,**,,**,,
2022 October,**,,**,,**,,**,,**,,
2023 October,**,,5.1,b ,4.6,c ,**,,4.8,b ,
2024 October,**,,6.1,c ,**,,**,,5.0,d ,
2025 October,**,,3.8,c ,4.0,a ,**,,4.0,b ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
