Toronto (C) — Historical % Change of Average Rents by Bedroom Type  
1998 to 2025 Row / Apartment October
,Studio,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1998 October,6.4,b ,7.0,a ,7.0,a ,6.9,b ,6.7,a ,
1999 October,6.8,b ,5.5,b ,5.2,a ,4.7,c ,5.1,a ,
2000 October,8.0,b ,9.2,a ,9.2,a ,9.5,b ,8.8,a ,
2001 October,6.3,b ,6.4,a ,6.6,a ,**,,6.2,a ,
2002 October,4.6,c ,2.5,b ,2.3,b ,2.6,b ,2.8,a ,
2003 October,++,,++,,0.9,d ,++,,++,,
2004 October,++,,++,,++,,++,,++,,
2005 October,++,,0.4,b ,1.1,a ,1.3,a ,0.6,a ,
2006 October,0.8,a ,0.8,a ,1.1,a ,1.2,a ,1.1,a ,
2007 October,2.1,b ,1.2,a ,1.0,a ,1.2,a ,1.2,a ,
2008 October,2.1,b ,1.6,a ,1.5,a ,1.5,a ,1.5,a ,
2009 October,1.6,b ,2.0,a ,2.4,a ,2.6,b ,2.1,a ,
2010 October,1.8,a ,1.6,a ,1.9,a ,2.5,a ,1.8,a ,
2011 October,2.2,a ,1.6,a ,1.9,a ,1.0,a ,1.8,a ,
2012 October,3.1,b ,2.9,a ,2.8,a ,3.0,b ,2.8,a ,
2013 October,3.7,b ,3.2,a ,2.9,a ,3.3,b ,3.1,a ,
2014 October,2.3,a ,2.7,a ,2.6,a ,2.2,b ,2.6,a ,
2015 October,3.4,b ,3.4,a ,3.5,a ,2.7,a ,3.3,a ,
2016 October,3.0,b ,3.5,a ,3.2,b ,2.0,c ,3.2,a ,
2017 October,4.8,b ,4.5,a ,4.3,a ,4.9,c ,4.5,a ,
2018 October,6.9,b ,6.1,a ,5.2,a ,5.2,b ,5.5,a ,
2019 October,7.4,a ,7.3,a ,6.2,a ,5.4,c ,6.6,a ,
2020 October,4.5,c ,4.5,b ,4.3,b ,**,,4.6,a ,
2021 October,++,,0.7,a ,1.0,a ,1.0,a ,0.7,a ,
2022 October,6.6,b ,6.3,a ,6.8,a ,7.1,b ,6.4,a ,
2023 October,8.6,a ,9.4,a ,8.7,a ,6.2,b ,9.2,a ,
2024 October,6.0,b ,3.3,c ,2.4,b ,2.8,b ,2.3,b ,
2025 October,2.9,b ,3.0,a ,3.2,c ,3.6,c ,3.0,b ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
