Year,Studio,1 Bedroom,2 Bedroom,3 Bedroom+,Total
1990,389,486,564,682,553
1991,500,489,581,720,568
1992,466,532,624,760,611
1993,446,536,630,776,618
1994,466,557,648,796,639
1995,530,567,651,803,645
1996,461,576,664,812,651
1997,453,585,684,817,665
1998,456,592,690,852,673
1999,472,608,709,883,693
2000,487,647,740,924,725
2001,527,668,779,1042,775
2002,566,707,809,1063,800
2003,601,706,832,1055,815
2004,627,727,837,1034,816
2005,618,734,839,1103,836
2006,576,744,850,1137,854
2007,585,743,857,1111,848
2008,618,766,871,1113,864
2009,648,770,883,1114,871
2010,614,782,894,1139,879
2011,617,797,908,1129,897
2012,648,829,946,1162,925
2013,654,842,961,1178,944
2014,673,868,992,1203,973
2015,710,898,1030,1210,1004
2016,734,952,1081,1251,1056
2017,750,980,1129,1308,1093
2018,773,1035,1165,1336,1133
2019,819,1145,1285,1412,1245
2020,870,1211,1367,1603,1332
2021,935,1277,1438,1466,1379
2022,990,1340,1498,1759,1466
2023,1159,1508,1652,1958,1624
2024,1269,1598,1736,1935,1703
2025,1331,1627,1803,2099,1759
