Year,Vacancy Rate,Availability Rate,Average Rent,Median Rent,Pct Change,Units
1990,2.70,,523,500,,3906
1991,3.00,,549,540,2.10,4502
1992,1.60,,565,550,2.40,4562
1993,2.40,,578,560,2.70,4545
1994,2.90,,591,580,1.00,4471
1995,7.50,,594,575,1.10,4540
1996,6.00,,592,575,0.00,4521
1997,5.00,,580,575,-0.90,4456
1998,7.20,,587,575,0.70,4460
1999,6.80,,585,575,0.00,4406
2000,3.60,,591,575,1.20,4443
2001,2.40,,601,590,1.60,4442
2002,2.00,,616,585,2.10,4363
2003,2.60,,618,615,1.50,4389
2004,2.80,,631,625,1.20,4412
2005,4.10,4.80,646,630,2.70,4481
2006,1.90,3.60,660,660,3.00,4434
2007,2.40,3.60,689,660,5.40,4057
2008,3.00,3.80,709,700,4.10,4027
2009,6.20,6.80,724,720,2.60,4012
2010,6.70,7.70,733,725,1.50,3993
2011,6.50,7.40,739,745,1.60,3986
2012,4.20,5.30,750,725,1.00,4018
2013,3.10,3.90,760,750,1.60,3979
2014,3.00,4.30,771,750,0.90,4042
2015,0.80,1.20,800,769,3.00,4245
2016,0.70,1.00,837,800,4.50,4251
2017,0.20,0.50,862,825,2.80,4237
2018,0.90,,934,913,7.60,4312
2019,1.20,,1036,974,4.80,4666
2020,0.60,,1060,1022,3.00,4859
2021,1.50,,1183,1150,6.10,5178
2022,2.00,,1269,1250,5.50,5364
2023,1.10,,1367,1365,7.00,5595
2024,1.30,,1403,1365,0.00,5812
2025,3.10,,1447,1402,6.20,5946
