Year,Vacancy Rate,Availability Rate,Average Rent,Median Rent,Pct Change,Units
1990,1.50,,517,525,,6200
1991,1.60,,564,554,3.70,6480
1992,1.80,,576,578,4.60,6464
1993,2.90,,587,595,1.30,6164
1994,4.10,,588,590,1.10,6126
1995,4.70,,596,595,0.00,6050
1996,6.00,,595,596,0.70,6089
1997,6.60,,596,599,0.00,6071
1998,7.00,,603,600,0.00,6008
1999,5.80,,608,600,1.00,6005
2000,5.00,,615,605,1.40,6005
2001,5.10,,616,613,2.70,6730
2002,3.50,,643,640,1.70,5968
2003,3.90,,665,650,3.70,5964
2004,3.50,,680,660,1.60,6001
2005,3.00,4.10,694,675,2.40,5969
2006,2.40,4.20,721,700,3.40,5925
2007,3.80,5.20,744,725,3.70,5900
2008,3.60,5.80,765,750,2.10,5851
2009,5.60,6.90,782,775,3.10,5895
2010,4.40,6.90,780,753,0.00,5867
2011,3.60,5.70,809,795,3.30,5918
2012,4.40,6.20,837,825,4.10,5924
2013,5.60,7.30,859,850,2.50,5889
2014,5.10,7.00,864,850,0.80,5868
2015,4.50,5.70,885,875,3.80,5890
2016,3.30,5.50,922,915,2.30,5897
2017,2.20,2.90,963,932,4.90,6007
2018,2.30,,995,949,4.70,6001
2019,3.30,,1064,1000,5.40,6007
2020,2.90,,1120,1100,5.80,6139
2021,1.60,,1147,1095,,6115
2022,2.30,,1234,1200,,5986
2023,3.10,,1287,1200,6.70,6079
2024,3.50,,1391,1400,4.70,6194
2025,3.30,,1447,1495,,6224
