Year,Vacancy Rate,Availability Rate,Average Rent,Median Rent,Pct Change,Units
1990,1.80,,462,450,,1899
1991,2.20,,464,450,5.70,1997
1992,3.20,,482,470,2.80,2254
1993,1.60,,511,500,2.40,2381
1994,4.40,,547,525,1.60,2537
1995,9.10,,548,550,0.00,2729
1996,10.80,,537,540,-1.20,2779
1997,11.60,,535,540,-1.30,2846
1998,13.70,,524,525,-1.20,2765
1999,12.10,,523,525,0.00,2659
2000,7.60,,526,535,0.00,2638
2001,6.10,,537,525,2.50,2655
2002,3.60,,554,550,1.20,2673
2003,3.30,,572,560,2.00,2851
2004,2.60,,569,550,1.30,2839
2005,2.80,4.00,589,575,1.90,2884
2006,,,,,,2943
2007,1.50,3.10,642,630,,2807
2008,3.20,5.30,664,650,3.30,2829
2009,7.70,9.40,675,665,1.30,2906
2010,6.40,8.70,670,650,-0.60,2985
2011,4.00,6.30,680,660,1.00,3009
2012,5.50,7.00,692,675,1.50,3051
2013,4.30,6.00,697,680,0.90,3046
2014,3.50,4.70,701,685,1.30,3077
2015,3.20,4.30,718,700,1.40,3135
2016,1.50,1.80,756,743,6.70,3190
2017,1.40,2.30,833,800,6.30,3276
2018,1.70,,887,838,10.20,3354
2019,1.40,,956,890,0.00,3358
2020,1.50,,982,950,,3412
2021,1.30,,1032,970,4.60,3775
2022,1.30,,1168,1100,6.50,3869
2023,1.40,,1275,1250,9.10,4068
2024,1.30,,1279,1251,,4265
2025,3.00,,1386,1400,8.20,4166
