Year,Vacancy Rate,Availability Rate,Average Rent,Median Rent,Pct Change,Units
1990,0.90,,552,550,,7810
1991,0.80,,568,560,4.60,8026
1992,2.40,,611,610,5.10,8023
1993,2.20,,617,612,2.20,8001
1994,1.40,,638,630,2.80,8000
1995,1.20,,644,640,2.10,7964
1996,2.40,,651,650,2.40,7834
1997,1.80,,665,669,2.30,7753
1998,1.40,,674,670,1.30,7657
1999,0.40,,694,680,3.60,7688
2000,0.60,,725,725,4.90,7674
2001,1.00,,775,750,4.70,7691
2002,2.80,,801,790,3.30,7710
2003,3.90,,815,795,2.40,7642
2004,3.40,,817,810,1.20,7707
2005,3.70,5.40,836,812,1.30,7646
2006,3.00,4.60,854,825,1.00,7662
2007,2.60,4.20,848,835,1.60,7577
2008,2.40,4.60,863,845,1.00,7518
2009,4.20,6.80,870,850,2.10,7487
2010,3.20,5.80,879,860,0.80,7310
2011,1.20,2.30,897,884,0.90,7241
2012,1.40,2.70,925,909,2.80,7360
2013,1.80,3.10,944,929,3.00,7310
2014,1.30,2.40,973,952,3.00,7301
2015,1.10,2.30,1003,977,3.20,7306
2016,0.90,1.90,1055,1028,3.80,7326
2017,1.20,2.40,1092,1065,3.80,7524
2018,1.40,,1133,1099,4.10,7810
2019,1.90,,1245,1194,5.50,8180
2020,2.10,,1332,1269,6.20,8359
2021,1.90,,1378,1359,3.20,8505
2022,1.40,,1466,1431,5.90,8488
2023,1.30,,1624,1595,7.90,8493
2024,1.80,,1703,1660,3.30,8696
2025,2.90,,1759,1740,5.10,8851
