Year,Vacancy Rate,Availability Rate,Average Rent,Median Rent,Pct Change,Units
1990,1.70,,517,495,,29219
1991,4.30,,553,530,3.90,30339
1992,4.40,,580,550,5.00,30644
1993,4.40,,582,554,2.10,30635
1994,2.90,,583,564,2.00,30307
1995,2.40,,600,595,1.10,29945
1996,2.30,,605,599,1.80,29550
1997,2.10,,611,600,0.90,29452
1998,1.60,,623,610,3.40,29468
1999,1.00,,640,630,2.30,29070
2000,0.80,,675,660,5.00,29044
2001,0.90,,700,680,3.50,29138
2002,2.20,,724,710,3.90,29420
2003,3.20,,732,715,2.60,29078
2004,3.50,,744,730,1.80,30636
2005,3.30,5.90,782,750,1.20,30913
2006,3.40,5.70,803,759,1.50,31168
2007,2.90,5.00,794,766,0.90,31221
2008,1.90,4.30,811,781,1.20,31183
2009,3.40,6.20,820,795,1.80,31205
2010,2.60,4.50,836,807,1.70,31561
2011,1.80,3.40,852,822,1.50,31427
2012,2.60,4.20,869,841,3.00,31226
2013,3.00,4.40,913,875,3.40,31547
2014,2.40,3.80,925,895,1.70,31680
2015,2.50,4.10,955,914,2.40,32334
2016,2.30,4.10,1011,954,2.90,33746
2017,1.90,3.50,1042,992,3.30,35936
2018,3.00,,1138,1048,5.50,37664
2019,2.00,,1161,1106,5.00,36836
2020,2.00,,1221,1170,3.90,39349
2021,2.00,,1305,1225,5.50,39539
2022,1.20,,1390,1327,7.20,40038
2023,2.10,,1561,1500,8.80,38582
2024,3.50,,1658,1620,3.50,41818
2025,4.00,,1716,1716,3.30,42911
