Year,Vacancy Rate,Availability Rate,Average Rent,Median Rent,Pct Change,Units
1990,2.00,,416,410,,6031
1991,2.30,,432,430,3.50,6136
1992,2.80,,447,450,2.50,6189
1993,3.40,,455,450,0.80,6412
1994,5.50,,467,470,0.00,6779
1995,5.00,,473,475,1.00,6901
1996,5.40,,482,480,0.00,7107
1997,5.30,,493,490,1.20,7205
1998,5.90,,500,500,0.40,7372
1999,3.90,,508,500,0.80,7521
2000,1.70,,523,525,2.40,9014
2001,1.60,,526,525,0.00,8649
2002,2.30,,546,545,2.20,8720
2003,2.90,,554,555,1.70,9033
2004,5.10,,582,580,1.60,9374
2005,4.70,6.30,583,575,1.80,9527
2006,5.50,6.10,608,595,1.80,10065
2007,4.20,5.60,611,610,2.00,9925
2008,2.30,3.10,627,625,2.40,10053
2009,3.80,4.30,648,650,2.50,10221
2010,4.20,5.50,662,660,1.90,10210
2011,4.40,4.90,684,680,1.90,10189
2012,6.60,7.50,709,695,2.20,10428
2013,9.10,9.70,714,700,1.40,10864
2014,8.60,9.00,730,719,1.00,11519
2015,7.40,7.90,729,715,0.00,11666
2016,5.90,7.10,768,750,2.00,12108
2017,4.50,5.00,765,750,0.00,12301
2018,2.90,,796,775,3.60,12341
2019,2.20,,832,800,2.30,12873
2020,2.80,,897,850,5.00,13588
2021,1.50,,992,910,3.20,14102
2022,1.70,,1065,1000,6.40,15013
2023,1.20,,1181,1132,7.20,15545
2024,1.50,,1301,1245,5.20,17441
2025,3.80,,1388,1350,5.10,19095
