Year,Vacancy Rate,Availability Rate,Average Rent,Median Rent,Pct Change,Units
1990,4.10,,381,380,,8053
1991,4.80,,398,400,4.70,8126
1992,6.00,,405,405,2.10,8059
1993,6.30,,414,410,1.20,7995
1994,7.90,,418,418,0.80,7996
1995,8.60,,414,414,0.00,8022
1996,9.00,,421,422,0.00,7646
1997,8.20,,428,425,1.90,7623
1998,7.20,,435,430,0.50,7767
1999,5.20,,439,445,3.40,7766
2000,3.40,,444,450,1.90,11056
2001,5.60,,461,450,2.60,9860
2002,6.30,,477,475,1.30,9763
2003,5.20,,479,475,1.90,9593
2004,5.80,,496,490,2.50,9464
2005,5.70,6.90,500,495,1.40,8756
2006,6.70,7.80,527,520,3.10,9458
2007,5.20,6.10,551,540,3.10,9001
2008,3.10,3.50,589,560,4.50,8699
2009,3.50,4.00,615,600,4.20,8697
2010,5.10,5.70,622,600,2.90,8688
2011,5.90,6.70,646,625,3.60,8611
2012,9.60,10.10,662,650,2.60,8629
2013,11.40,12.00,666,650,0.00,8460
2014,9.00,10.00,682,650,1.00,8503
2015,8.40,8.60,688,665,1.30,8809
2016,8.30,8.80,695,675,1.70,9102
2017,4.60,5.10,713,695,1.40,9534
2018,3.70,,727,700,3.10,9506
2019,3.30,,766,725,3.50,9635
2020,3.00,,790,750,3.60,10153
2021,2.10,,856,800,6.50,10269
2022,1.70,,959,887,6.60,10424
2023,2.30,,1034,950,7.90,10549
2024,3.90,,1136,1050,8.20,11021
2025,2.10,,1199,1128,6.70,11001
