Year,Vacancy Rate,Availability Rate,Average Rent,Median Rent,Pct Change,Units
2007,2.40,2.60,514,500,3.40,32954
2008,2.80,2.90,525,520,2.10,30909
2009,3.90,4.30,535,525,2.40,31692
2010,4.60,4.80,550,541,2.70,32003
2011,4.60,4.90,562,550,1.40,32566
2012,5.00,5.20,565,550,0.50,33013
2013,5.30,5.50,574,560,1.40,33382
2014,5.40,5.50,590,575,1.30,33559
2015,5.80,5.90,592,580,1.10,33857
2016,6.40,6.60,612,590,2.10,34728
2017,5.20,,618,595,1.00,34857
2018,2.60,,621,600,1.90,35455
2019,2.30,,647,615,2.10,35743
2020,1.30,,670,640,3.60,36134
2021,0.90,,727,675,4.70,37150
2022,0.90,,823,750,8.70,38224
2023,1.30,,918,825,9.80,39769
2024,1.40,,997,900,8.50,40819
2025,2.70,,1090,1000,9.80,42052
