Year,Vacancy Rate,Availability Rate,Average Rent,Median Rent,Pct Change,Units
1990,1.10,,517,530,,5811
1991,1.00,,549,570,5.20,5725
1992,2.40,,558,575,5.60,5690
1993,2.80,,583,600,3.00,5725
1994,4.20,,591,600,1.50,5545
1995,6.10,,598,612,0.90,5573
1996,5.50,,610,625,0.00,5493
1997,8.00,,608,600,,5430
1998,9.30,,597,600,-1.20,5444
1999,7.70,,595,600,0.00,5396
2000,5.70,,607,600,1.20,5843
2001,5.80,,607,600,0.00,5847
2002,4.70,,612,607,1.40,5821
2003,3.30,,629,625,1.70,5770
2004,5.00,,617,613,1.90,5788
2005,4.90,6.10,629,625,,5751
2006,5.20,6.10,639,638,2.20,5774
2007,4.10,4.70,652,650,1.50,5758
2008,2.90,3.50,664,667,2.20,5650
2009,3.20,3.90,686,689,3.30,5645
2010,2.40,3.00,707,696,2.40,5549
2011,1.60,2.70,722,700,3.00,5605
2012,1.40,2.30,764,750,5.30,5612
2013,2.80,3.80,796,795,4.40,5577
2014,2.40,3.30,832,816,3.80,5616
2015,4.40,5.00,866,850,2.60,5674
2016,5.20,5.60,883,855,1.60,5724
2017,3.30,3.70,895,889,3.50,5756
2018,5.10,,970,936,6.40,5796
2019,3.60,,1000,979,3.60,5868
2020,4.00,,1028,1000,2.10,5931
2021,3.50,,1053,1010,3.00,6020
2022,1.80,,1100,1075,7.50,6237
2023,2.90,,1237,1200,7.60,6150
2024,3.00,,1355,1300,8.40,6264
2025,3.90,,1395,1350,6.80,6231
