Year,Studio,1 Bedroom,2 Bedroom,3 Bedroom+,Total
1990,376,546,630,814,593
1991,376,562,675,882,629
1992,444,600,840,868,740
1993,426,589,834,842,726
1994,443,617,803,860,726
1995,431,641,843,858,766
1996,471,642,761,886,717
1997,467,660,761,896,722
1998,533,665,909,958,816
1999,493,676,806,925,756
2000,521,722,826,952,764
2001,540,741,844,962,804
2002,562,785,884,994,839
2003,585,772,887,1003,835
2004,567,811,915,1061,854
2005,543,802,878,865,826
2006,585,851,940,1031,890
2007,622,848,958,1081,894
2008,625,860,946,1141,910
2009,660,895,963,1185,932
2010,635,880,982,1202,920
2011,677,947,1029,1199,975
2012,615,964,1043,1276,991
2013,741,990,1068,1259,1022
2014,703,1042,1137,1207,1067
2015,696,1057,1173,1276,1092
2016,738,1069,1178,,1105
2017,763,1181,1269,,1210
2018,759,1161,1308,,1205
2019,798,1370,1461,,1387
2020,757,1416,1527,,1426
2021,754,1273,1411,,1283
2022,,1502,1530,,1480
2023,,1702,1785,,1692
2024,,1590,2010,,1755
2025,,1951,2384,,2128
