Year,Studio,1 Bedroom,2 Bedroom,3 Bedroom+,Total
1990,416,517,602,760,613
1991,438,548,637,772,641
1992,468,552,644,769,644
1993,448,559,659,790,658
1994,453,573,657,781,660
1995,470,588,684,807,682
1996,464,603,694,830,689
1997,466,589,683,813,677
1998,504,636,721,849,717
1999,495,638,738,859,730
2000,502,665,762,883,756
2001,534,678,784,915,774
2002,551,685,803,943,793
2003,578,726,831,937,819
2004,594,740,846,991,838
2005,589,732,844,1011,833
2006,599,736,850,1053,845
2007,601,754,868,1016,856
2008,628,773,878,1058,870
2009,611,764,888,1066,875
2010,641,787,892,1075,886
2011,653,802,924,1110,912
2012,645,817,926,1112,919
2013,680,857,981,1191,976
2014,680,858,1002,1212,994
2015,723,880,1028,1236,1021
2016,752,972,1124,1295,1104
2017,789,1048,1190,1331,1164
2018,827,1204,1275,1432,1267
2019,838,1164,1268,1477,1259
2020,900,1162,1360,1637,1333
2021,1014,1288,1441,1696,1431
2022,1124,1290,1492,1969,1491
2023,1068,1425,1665,2172,1678
2024,1274,1636,1702,2074,1722
2025,1318,1598,1780,2228,1777
