Year,Studio,1 Bedroom,2 Bedroom,3 Bedroom+,Total
1990,303,451,565,654,517
1991,316,471,600,680,549
1992,320,485,620,703,558
1993,348,514,632,741,582
1994,360,518,656,755,591
1995,375,518,659,754,598
1996,350,530,672,754,610
1997,385,526,666,773,608
1998,362,520,647,770,596
1999,382,519,647,737,595
2000,379,526,654,705,607
2001,375,528,656,706,607
2002,398,532,656,703,612
2003,421,552,670,720,629
2004,414,550,677,692,617
2005,410,556,689,702,629
2006,434,571,695,719,639
2007,452,584,707,726,652
2008,467,589,718,768,664
2009,480,608,741,805,686
2010,503,624,762,867,708
2011,518,641,771,926,723
2012,531,676,818,952,764
2013,567,705,858,974,797
2014,574,738,888,1063,832
2015,603,749,919,1175,866
2016,608,765,939,1108,883
2017,622,778,958,1147,895
2018,666,831,1038,1223,971
2019,712,856,1078,1268,1003
2020,732,880,1092,1358,1029
2021,751,928,1116,1261,1053
2022,757,964,1176,1372,1102
2023,823,1054,1321,1511,1237
2024,840,1146,1445,1822,1359
2025,976,1173,1495,1794,1396
