Year,Studio,1 Bedroom,2 Bedroom,3 Bedroom+,Total
1990,326,458,543,724,547
1991,378,467,591,716,586
1992,354,485,642,772,614
1993,353,487,612,796,602
1994,402,506,619,812,619
1995,405,513,647,813,647
1996,416,527,645,787,633
1997,426,547,653,772,638
1998,418,547,674,816,667
1999,461,567,682,833,670
2000,520,624,734,854,722
2001,450,662,784,1020,784
2002,545,666,809,954,785
2003,501,682,799,1036,797
2004,518,671,811,1056,812
2005,512,683,867,1237,880
2006,554,694,883,1374,935
2007,551,699,866,1015,826
2008,598,753,907,1122,884
2009,650,766,933,1027,893
2010,654,787,944,1079,908
2011,680,792,965,1123,929
2012,697,824,995,1104,950
2013,734,858,1019,1156,987
2014,641,843,1024,1161,978
2015,803,878,1079,1241,1030
2016,673,876,1099,1694,1132
2017,917,992,1181,1453,1150
2018,962,1243,1443,1301,1356
2019,1032,1197,1354,1337,1296
2020,1124,1183,1448,1549,1370
2021,1122,1257,1500,,1523
2022,1174,1371,1591,1904,1547
2023,1289,1529,1856,2620,1840
2024,1391,1649,1871,1888,1786
2025,1348,1747,1901,1876,1842
