Year,Studio,1 Bedroom,2 Bedroom,3 Bedroom+,Total
1990,,,,,
1991,,5.8,4.4,4.2,4.6
1992,,5.1,5.5,4.4,5.1
1993,,1.5,2.0,3.7,2.2
1994,2.4,3.1,2.9,2.3,2.8
1995,,2.6,1.7,0.0,2.1
1996,0.0,2.2,2.9,3.3,2.4
1997,3.4,2.2,2.8,,2.3
1998,0.0,1.2,1.1,1.5,1.3
1999,,4.0,3.5,3.0,3.6
2000,,5.3,5.0,3.7,4.9
2001,,3.8,4.8,4.0,4.7
2002,2.4,4.4,3.2,3.1,3.3
2003,10.8,1.6,1.9,0.0,2.4
2004,3.3,1.4,1.5,0.0,1.2
2005,0.0,1.4,1.2,0.0,1.3
2006,2.9,1.8,1.2,0.6,1.0
2007,4.2,1.5,1.3,1.7,1.6
2008,1.6,1.8,1.2,0.7,1.0
2009,1.7,1.1,2.1,1.7,2.1
2010,2.8,0.8,0.9,0.9,0.8
2011,1.3,0.6,1.0,1.9,0.9
2012,,3.2,3.0,1.6,2.8
2013,4.3,3.5,2.9,1.9,3.0
2014,0.0,3.2,2.8,3.7,3.0
2015,,2.9,3.4,3.5,3.2
2016,4.0,4.8,3.8,3.3,3.8
2017,,3.8,4.0,3.6,3.8
2018,3.9,4.8,4.0,1.0,4.1
2019,5.0,5.8,5.4,7.1,5.5
2020,,4.7,6.5,8.3,6.2
2021,,6.0,2.8,0.0,3.2
2022,3.4,5.8,4.7,8.3,5.9
2023,,6.6,8.1,7.5,7.9
2024,,5.4,3.1,,3.3
2025,0.0,3.9,5.1,7.8,5.1
