Year,Studio,1 Bedroom,2 Bedroom,3 Bedroom+,Total
1990,,,,,
1991,,2.5,2.6,,2.5
1992,,5.0,4.7,3.7,4.8
1993,4.4,,2.2,2.9,1.9
1994,,0.0,0.0,2.0,1.7
1995,4.7,1.6,1.7,1.2,
1996,0.0,2.8,1.7,,1.8
1997,0.0,1.4,1.0,0.0,0.9
1998,2.7,3.9,4.2,3.5,3.4
1999,,1.5,1.8,0.0,1.9
2000,5.3,5.2,5.1,4.1,5.1
2001,4.4,3.6,3.4,4.1,3.5
2002,4.5,3.7,4.2,3.0,3.9
2003,1.3,2.9,2.1,0.0,2.5
2004,1.7,1.8,1.2,2.4,1.6
2005,2.7,1.1,1.6,1.6,1.7
2006,3.8,1.7,1.6,1.7,1.5
2007,1.0,0.8,1.2,1.8,1.0
2008,1.1,1.6,1.5,1.1,1.4
2009,1.4,1.9,1.6,0.9,1.7
2010,2.2,1.6,1.6,2.1,1.6
2011,1.3,1.7,1.5,1.1,1.6
2012,3.0,3.0,3.1,2.6,3.0
2013,2.9,3.5,3.4,2.5,3.5
2014,1.8,1.4,1.5,1.5,1.5
2015,3.6,2.1,2.5,2.3,2.6
2016,3.4,3.3,2.6,2.7,2.8
2017,2.5,3.1,3.7,3.1,3.6
2018,4.7,4.7,4.2,4.6,4.3
2019,6.6,5.5,5.6,4.9,5.5
2020,5.1,4.1,3.4,1.9,3.5
2021,,4.9,3.6,5.0,3.9
2022,,8.3,7.7,4.1,7.8
2023,,7.2,7.3,3.3,7.1
2024,5.7,4.9,4.8,7.0,4.9
2025,0.0,2.7,2.9,3.2,2.9
