Year,Studio,1 Bedroom,2 Bedroom,3 Bedroom+,Total
1990,,,,,
1991,,6.5,5.9,7.9,6.0
1992,0.0,,3.7,3.8,3.2
1993,,7.2,3.8,,3.9
1994,0.0,4.4,4.3,3.0,3.5
1995,5.3,,3.0,4.1,3.0
1996,0.0,,,3.8,
1997,0.0,4.3,2.4,0.0,2.6
1998,,7.1,7.7,6.5,7.5
1999,0.0,,4.9,4.9,4.8
2000,,4.4,5.3,3.9,5.1
2001,0.0,6.0,5.5,6.0,
2002,,4.4,5.4,,4.6
2003,,,0.0,0.0,0.0
2004,0.0,0.0,,0.0,
2005,0.0,0.0,0.0,0.0,0.0
2006,0.0,2.4,2.2,1.9,1.2
2007,,1.0,1.3,1.5,1.8
2008,2.2,1.5,2.1,3.6,1.7
2009,0.0,2.2,1.7,0.0,1.9
2010,0.0,1.4,1.6,,1.7
2011,1.2,2.4,2.1,0.0,2.0
2012,3.2,4.0,4.2,4.2,4.1
2013,2.8,2.5,2.9,0.0,2.7
2014,2.9,2.8,2.5,3.2,2.6
2015,2.0,3.3,3.4,3.8,3.5
2016,3.6,3.6,3.6,,3.5
2017,3.2,3.9,4.0,3.2,4.0
2018,0.0,3.0,3.2,2.3,3.0
2019,6.1,6.3,5.7,6.1,6.4
2020,3.5,4.8,6.0,3.2,5.6
2021,1.1,,1.3,0.0,1.5
2022,,3.3,4.7,2.6,3.9
2023,6.8,6.8,5.2,,7.2
2024,5.2,6.6,5.7,,5.9
2025,,4.7,4.6,,4.6
