Year,Vacancy Rate,Availability Rate,Average Rent,Median Rent,Pct Change,Units
1990,0.20,,471,455,,4997
1991,1.90,,541,514,8.00,5141
1992,4.90,,569,535,,5460
1993,4.90,,559,540,3.10,5396
1994,4.40,,565,531,0.00,5434
1995,3.50,,571,550,0.00,5164
1996,3.50,,578,569,2.20,5007
1997,3.80,,582,575,1.40,4932
1998,2.10,,592,590,1.90,4897
1999,1.10,,603,604,2.10,4896
2000,1.10,,619,625,3.30,4863
2001,1.90,,643,650,3.30,4883
2002,1.30,,670,670,4.40,4861
2003,2.70,,676,679,3.20,4844
2004,2.10,,681,680,1.50,4946
2005,2.50,4.40,736,700,1.00,5170
2006,3.70,6.20,755,725,2.10,5200
2007,4.10,6.20,797,750,2.10,5407
2008,2.30,4.60,796,760,1.10,5409
2009,5.70,8.70,806,775,1.60,5412
2010,4.20,6.20,835,799,1.60,5542
2011,2.60,4.40,842,800,1.10,5556
2012,2.40,4.00,857,815,2.50,5544
2013,2.50,4.20,901,849,2.90,5673
2014,2.00,3.40,943,869,2.10,5659
2015,2.00,3.40,944,889,2.20,5744
2016,1.80,3.10,995,917,3.40,5890
2017,1.80,2.80,1013,950,3.00,6059
2018,1.80,,1086,1002,4.40,6345
2019,2.10,,1128,1060,6.20,6217
2020,1.50,,1193,1165,5.10,6215
2021,1.20,,1237,1165,2.30,6196
2022,1.40,,1319,1250,7.20,6191
2023,3.80,,1407,1266,8.60,6235
2024,4.90,,1732,1780,,6744
2025,3.40,,1857,1875,4.90,6819
