Year,Vacancy Rate,Availability Rate,Average Rent,Median Rent,Pct Change,Units
1999,9.10,,552,563,1.50,4547
2000,10.60,,561,565,0.00,4502
2001,11.40,,566,575,1.10,4474
2002,9.00,,575,575,1.70,4444
2003,7.80,,585,590,1.20,5456
2004,8.50,,590,595,1.60,5263
2005,7.40,8.60,590,592,1.00,5094
2006,6.10,7.40,593,600,1.60,5033
2007,5.80,7.60,610,600,1.50,5029
2008,7.10,8.70,609,608,1.60,4876
2009,6.90,9.00,618,625,1.70,4934
2010,7.10,8.40,651,630,1.20,4826
2011,6.80,8.60,645,630,0.70,4985
2012,4.70,6.00,652,650,3.40,5003
2013,4.70,5.90,679,675,2.00,4940
2014,4.60,6.00,691,675,1.90,4936
2015,3.90,5.40,689,670,1.70,4961
2016,3.20,5.30,714,700,2.60,4971
2017,2.70,3.80,732,725,2.20,4959
2018,2.10,,761,750,4.20,4936
2019,2.90,,816,814,5.80,4911
2020,1.20,,831,801,3.80,4945
2021,2.00,,869,850,6.70,4973
2022,2.80,,1034,955,,5126
2023,3.20,,1099,1028,,5249
2024,4.30,,1177,1020,,5490
2025,4.40,,1294,1225,8.80,5507
