Year,Vacancy Rate,Availability Rate,Average Rent,Median Rent,Pct Change,Units
1998,5.40,,613,600,1.20,11569
1999,3.40,,622,609,1.30,11574
2000,1.80,,635,620,2.90,11429
2001,1.40,,668,650,4.10,11528
2002,0.90,,677,670,0.00,11555
2003,2.00,,716,698,5.10,11651
2004,2.40,,728,705,3.50,12161
2005,2.40,3.90,755,725,2.80,12318
2006,2.20,3.80,789,760,2.00,12446
2007,3.20,4.70,807,765,1.90,12467
2008,1.20,2.50,843,795,3.30,12382
2009,1.30,2.50,853,820,2.30,12474
2010,1.00,1.70,888,835,3.20,12485
2011,1.00,2.20,911,854,1.70,12765
2012,1.60,2.80,951,890,3.10,12729
2013,2.20,3.60,1001,925,2.90,12939
2014,1.90,3.50,1012,939,2.30,13158
2015,2.80,4.10,1037,950,3.00,13425
2016,2.70,4.30,1083,975,2.20,13687
2017,0.70,1.80,1109,1000,3.10,13912
2018,0.60,,1185,1051,2.70,13981
2019,2.00,,1244,1170,7.60,14170
2020,3.10,,1289,1209,3.10,14364
2021,1.40,,1376,1299,3.40,14646
2022,1.20,,1388,1311,4.60,15051
2023,0.80,,1530,1480,7.50,14913
2024,2.80,,1599,1560,5.50,15023
2025,2.40,,1717,1650,2.60,15880
