Year,Vacancy Rate,Availability Rate,Average Rent,Median Rent,Pct Change,Units
1993,3.70,,586,570,3.90,43147
1994,3.90,,602,590,1.60,42071
1995,4.10,,605,591,2.10,41162
1996,6.00,,604,589,0.00,40245
1997,5.10,,600,585,0.00,39798
1998,4.50,,603,585,0.60,39475
1999,3.50,,601,579,1.20,38827
2000,2.20,,616,597,2.30,38749
2001,1.60,,640,615,2.90,39267
2002,1.90,,663,639,4.00,39160
2003,2.20,,690,668,2.70,39040
2004,3.70,,711,687,2.90,39350
2005,4.20,6.80,727,699,1.80,39557
2006,3.70,5.80,741,703,2.00,39433
2007,3.70,5.60,767,729,2.30,39727
2008,3.70,6.30,781,748,1.10,40188
2009,5.00,7.90,831,762,1.30,40932
2010,4.80,7.20,811,765,1.10,41428
2011,3.80,6.00,823,775,0.70,42211
2012,3.90,6.20,858,800,2.30,42317
2013,3.40,5.70,864,809,1.80,42364
2014,2.80,5.10,882,821,1.00,42449
2015,3.00,5.40,898,840,2.40,42895
2016,2.10,4.30,933,860,1.70,44035
2017,1.80,3.50,974,899,3.30,44693
2018,2.30,,1017,939,4.40,45563
2019,1.80,,1050,984,5.00,45889
2020,3.40,,1147,1059,7.20,46702
2021,1.90,,1198,1130,2.50,47643
2022,1.50,,1298,1238,5.50,48065
2023,1.70,,1363,1300,5.70,47201
2024,2.70,,1457,1423,6.30,48558
2025,3.80,,1554,1520,5.00,49491
