Year,Vacancy Rate,Availability Rate,Average Rent,Median Rent,Pct Change,Units
1990,0.30,,519,525,,921
1991,0.10,,540,520,3.90,922
1992,0.30,,587,571,6.70,1098
1993,0.00,,615,600,5.10,1099
1994,0.30,,633,620,,1100
1995,0.30,,664,650,5.80,1101
1996,0.30,,694,669,4.00,1173
1997,0.70,,696,687,3.10,1323
1998,0.20,,733,700,5.50,1323
1999,0.10,,799,830,,1323
2000,0.60,,818,800,0.00,1248
2001,0.20,,929,922,10.30,1250
2002,0.90,,928,949,0.00,1233
2003,1.40,,976,975,4.20,1258
2004,0.70,,1004,975,,1258
2005,2.30,4.10,995,980,,1258
2006,1.10,1.60,1019,1000,4.60,1638
2007,0.30,1.90,998,995,0.00,1638
2008,1.10,3.10,1067,1065,,1636
2009,1.60,2.80,997,1000,,1634
2010,1.30,2.50,1026,1000,0.00,1636
2011,0.30,0.90,1078,1065,0.00,1637
2012,1.60,2.50,1097,1092,2.40,1640
2013,0.90,1.70,1128,1100,2.80,1634
2014,1.60,2.90,1145,1126,0.00,1640
2015,2.50,3.60,1197,1200,4.80,1643
2016,1.40,2.50,1228,1250,3.00,1646
2017,0.90,1.10,1339,1350,8.00,2088
2018,1.50,,1337,1342,0.00,1627
2019,1.20,,1483,1451,7.60,1627
2020,3.10,,1541,1512,,1628
2021,2.10,,1503,1480,0.00,1633
2022,0.80,,1554,1500,3.60,1631
2023,0.40,,1630,1500,6.20,1631
2024,2.00,,1831,1800,12.20,1631
2025,,,1942,1809,0.00,1631
