Year,Vacancy Rate,Availability Rate,Average Rent,Median Rent,Pct Change,Units
1990,0.00,,552,505,,626
1991,0.00,,584,555,,630
1992,0.30,,591,550,5.70,682
1993,0.70,,625,580,4.40,681
1994,0.30,,666,630,4.90,679
1995,1.90,,674,630,3.50,680
1996,0.20,,699,680,2.80,680
1997,1.00,,691,675,0.00,680
1998,0.00,,738,700,,679
1999,0.00,,805,790,,679
2000,0.20,,848,849,,692
2001,0.20,,772,760,0.00,692
2002,2.00,,866,875,,693
2003,0.70,,867,870,,693
2004,1.70,,899,899,0.00,684
2005,0.40,3.00,909,899,0.60,696
2006,1.30,2.20,955,990,2.70,696
2007,1.30,2.30,967,929,0.00,703
2008,0.80,1.50,956,938,0.00,703
2009,2.70,4.20,1017,1025,4.50,709
2010,1.30,4.20,1039,1050,0.00,709
2011,0.40,3.20,1050,1050,2.50,709
2012,0.80,2.80,1072,1059,4.00,709
2013,1.50,2.00,1082,1075,0.00,709
2014,1.20,3.70,1090,1075,3.20,709
2015,1.30,1.70,1130,1115,3.60,709
2016,1.80,2.90,1182,1201,0.00,709
2017,0.70,2.80,1206,1225,3.60,709
2018,0.90,,1234,1271,0.00,709
2019,1.60,,1285,1300,,709
2020,0.90,,1345,1344,4.90,709
2021,1.50,,1362,1357,,709
2022,0.60,,1512,1500,,709
2023,2.40,,1531,1500,4.80,612
2024,4.20,,1703,1700,5.00,612
2025,3.20,,1735,1730,4.00,612
