Year,Vacancy Rate,Availability Rate,Average Rent,Median Rent,Pct Change,Units
1998,0.90,,808,775,6.70,254774
1999,0.90,,849,810,5.10,254975
2000,0.60,,912,870,8.80,254180
2001,0.90,,955,900,6.20,255586
2002,2.50,,981,941,2.80,255088
2003,3.90,,967,925,0.00,256039
2004,4.40,,978,926,0.00,258348
2005,3.80,5.70,977,925,0.60,256983
2006,3.40,5.10,995,938,1.10,260407
2007,3.40,5.20,991,941,1.20,260091
2008,2.00,3.60,1018,950,1.50,259521
2009,3.10,5.00,1014,950,2.10,260312
2010,2.20,3.90,1046,975,1.80,258973
2011,1.40,2.80,1072,1000,1.80,260291
2012,1.70,3.00,1108,1036,2.80,260965
2013,1.60,3.10,1139,1071,3.10,260391
2014,1.60,2.90,1170,1100,2.60,261098
2015,1.60,3.10,1211,1150,3.30,261564
2016,1.30,2.80,1241,1176,3.20,261873
2017,1.10,2.30,1313,1249,4.50,263199
2018,1.10,,1378,1300,5.50,264832
2019,1.50,,1476,1399,6.60,266753
2020,3.60,,1545,1490,4.60,268559
2021,4.90,,1577,1500,0.70,269975
2022,1.70,,1678,1619,6.40,276472
2023,1.40,,1845,1757,9.20,275064
2024,2.30,,1851,1760,2.30,281935
2025,2.80,,1916,1842,3.00,282820
