Year,Vacancy Rate,Availability Rate,Average Rent,Median Rent,Pct Change,Units
1990,1.90,,547,520,,6159
1991,1.90,,586,543,4.50,6279
1992,2.90,,614,558,4.00,6388
1993,2.20,,602,550,,6291
1994,1.50,,619,586,2.50,6176
1995,2.00,,647,615,,6150
1996,1.10,,633,600,0.00,6076
1997,1.30,,638,614,0.00,6098
1998,1.20,,667,630,4.70,6062
1999,0.60,,670,643,3.90,5944
2000,0.30,,722,700,6.40,5953
2001,0.80,,784,730,3.90,6105
2002,1.90,,785,752,3.40,6079
2003,1.80,,797,770,2.80,6014
2004,2.40,,812,781,2.60,6441
2005,1.80,3.80,880,790,0.00,6371
2006,2.00,4.20,935,814,1.20,6670
2007,1.10,3.30,826,800,0.00,6333
2008,1.20,3.20,884,844,0.00,6266
2009,1.40,4.40,893,859,2.10,6269
2010,1.80,3.50,908,875,2.40,6302
2011,1.40,2.70,929,890,1.40,6100
2012,3.20,4.90,950,909,3.60,5964
2013,3.10,4.50,987,946,3.50,5980
2014,2.80,4.30,978,940,1.90,6044
2015,2.20,3.90,1030,976,2.10,6180
2016,1.60,3.50,1132,1030,2.60,6783
2017,2.10,4.00,1150,1103,2.90,7995
2018,2.90,,1356,1200,,9002
2019,1.60,,1296,1218,2.80,7963
2020,2.80,,1370,1269,3.90,10161
2021,2.50,,1523,1375,,9942
2022,1.20,,1547,1472,,10017
2023,1.60,,1840,1750,,9799
2024,2.50,,1786,1799,0.00,10851
2025,3.20,,1842,1850,3.00,10993
