Year,Vacancy Rate,Availability Rate,Average Rent,Median Rent,Pct Change,Units
1990,1.80,,612,622,,2501
1991,3.30,,671,695,5.00,2624
1992,11.60,,682,680,0.00,2661
1993,7.10,,676,680,,2650
1994,4.10,,691,690,1.90,2624
1995,1.80,,714,715,2.50,2613
1996,3.20,,728,735,1.60,2615
1997,1.80,,702,725,3.00,2489
1998,1.30,,734,759,4.30,2476
1999,0.70,,757,760,5.20,2499
2000,1.20,,818,860,4.70,2502
2001,0.10,,802,830,2.20,2502
2002,1.30,,855,850,3.80,2486
2003,4.10,,884,895,2.50,2616
2004,2.20,,849,866,,2620
2005,2.90,4.90,873,890,2.20,2621
2006,3.20,6.80,885,899,1.30,2611
2007,3.80,6.30,883,900,0.00,2470
2008,2.50,5.30,905,925,1.40,2464
2009,1.90,4.90,926,930,1.30,2459
2010,1.50,4.40,932,944,1.00,2459
2011,0.80,3.50,975,964,1.20,2459
2012,0.80,3.40,969,965,1.80,2476
2013,2.00,3.60,992,984,2.00,2472
2014,1.50,3.80,1009,995,2.20,2475
2015,1.40,3.20,1020,1020,2.10,2474
2016,1.10,3.10,1053,1057,3.20,2477
2017,1.30,2.30,1096,1080,3.20,2479
2018,1.40,,1138,1132,4.80,2484
2019,1.40,,1227,1212,5.70,2489
2020,1.80,,1304,1300,4.50,2483
2021,1.80,,1356,1348,1.40,2485
2022,1.20,,1349,1330,3.50,2486
2023,1.70,,1397,1379,6.60,2356
2024,3.60,,1641,1520,,2476
2025,2.50,,1634,1580,4.20,2482
