city,2004_2011,2011_2018,2018_2025,2004_2025,2011_2025
ajax,1.17,20.69,38.76,69.43,67.47
barrie,9.94,32.37,31.91,91.98,74.61
brampton,7.09,22.31,49.54,95.85,82.89
brantford,14.8,25.91,53.98,122.56,93.87
burlington,15.99,28.12,41.82,110.77,81.71
cambridge,23.64,28.98,70.99,172.69,120.55
chatham-kent,9.32,17.98,70.04,119.32,100.62
clarington,7.01,39.06,45.33,116.27,102.11
greater sudbury,34.54,20.66,50.15,143.75,81.17
guelph,9.93,26.31,55.25,115.56,96.1
hamilton,6.1,38.03,42.62,108.85,96.85
kawartha lakes,18.43,11.21,47.63,94.44,64.19
kingston,25.14,30.08,44.89,135.85,88.47
kitchener,12.87,28.57,52.38,121.14,95.92
london,15.75,23.57,52.8,118.57,88.82
markham,7.37,24.03,45.25,93.43,80.15
milton,16.8,17.52,40.6,92.99,65.24
mississauga,9.07,24.59,40.65,91.13,75.23
newmarket,14.17,23.59,76.6,149.18,118.26
niagara falls,14.35,23.18,57.28,121.52,93.73
oakville,9.79,28.33,50.76,112.4,93.47
oshawa,8.83,38.93,40.25,112.05,94.85
ottawa,15.59,19.58,45.45,101.04,73.93
peterborough,15.63,20.16,38.41,92.32,66.32
pickering,8.27,18.42,30.9,67.83,55.01
richmond hill,11.97,13.25,34.63,70.72,52.47
sault ste. marie,18.65,33.38,49.38,136.41,99.25
st. catherines,14.21,26.34,47.88,113.37,86.83
thunder bay,17.18,34.3,43.77,126.26,93.08
toronto,9.61,28.54,39.04,95.91,78.73
vaughan,,,,,
waterloo,14.41,45.96,35.84,126.85,98.28
whitby,14.84,16.72,43.59,92.46,67.59
windsor,-3.73,22.35,51.16,78.05,84.95
