city,2004_2011,2011_2018,2018_2025,2004_2025,2011_2025
ajax,12.0,215.0,486.0,713.0,701.0
barrie,88.0,315.0,411.0,814.0,726.0
brampton,70.0,236.0,641.0,947.0,877.0
brantford,103.0,207.0,543.0,853.0,750.0
burlington,150.0,306.0,583.0,1039.0,889.0
cambridge,161.0,244.0,771.0,1176.0,1015.0
chatham-kent,55.0,116.0,533.0,704.0,649.0
clarington,56.0,334.0,539.0,929.0,873.0
greater sudbury,210.0,169.0,495.0,874.0,664.0
guelph,81.0,236.0,626.0,943.0,862.0
hamilton,42.0,278.0,430.0,750.0,708.0
kawartha lakes,136.0,98.0,463.0,697.0,561.0
kingston,183.0,274.0,532.0,989.0,806.0
kitchener,95.0,238.0,561.0,894.0,799.0
london,112.0,194.0,537.0,843.0,731.0
markham,74.0,259.0,605.0,938.0,864.0
milton,151.0,184.0,501.0,836.0,685.0
mississauga,91.0,269.0,554.0,914.0,823.0
newmarket,121.0,230.0,923.0,1274.0,1153.0
niagara falls,98.0,181.0,551.0,830.0,732.0
oakville,101.0,321.0,738.0,1160.0,1059.0
oshawa,74.0,355.0,510.0,939.0,865.0
ottawa,135.0,196.0,544.0,875.0,740.0
peterborough,116.0,173.0,396.0,685.0,569.0
pickering,90.0,217.0,431.0,738.0,648.0
richmond hill,121.0,150.0,444.0,715.0,594.0
sault ste. marie,105.0,223.0,440.0,768.0,663.0
st. catherines,102.0,216.0,496.0,814.0,712.0
thunder bay,106.0,248.0,425.0,779.0,673.0
toronto,94.0,306.0,538.0,938.0,844.0
vaughan,,,,,
waterloo,117.0,427.0,486.0,1030.0,913.0
whitby,126.0,163.0,496.0,785.0,659.0
windsor,-26.0,150.0,420.0,544.0,570.0
