Year,Studio,1 Bedroom,2 Bedroom,3 Bedroom+,Total
1990,0.0,9.3,2.4,5.4,4.7
1991,0.0,5.1,7.7,1.8,6.2
1992,11.1,4.2,3.6,,3.5
1993,0.0,7.5,7.0,7.1,7.0
1994,0.0,2.8,1.8,,1.9
1995,0.0,6.5,2.5,0.0,3.3
1996,0.0,2.7,1.8,0.0,1.9
1997,0.0,5.9,2.1,5.5,3.5
1998,0.0,4.3,3.9,5.6,4.1
1999,0.0,0.5,1.3,,0.9
2000,0.0,0.5,0.9,0.0,0.7
2001,11.1,2.5,0.8,2.3,1.5
2002,0.0,2.8,1.0,0.0,1.5
2003,,1.1,2.2,,1.6
2004,,1.9,1.2,2.4,1.5
2005,,0.7,2.4,2.0,1.6
2006,,1.6,2.8,,2.1
2007,,4.6,2.5,12.8,3.8
2008,,2.4,4.7,,3.6
2009,,3.4,3.8,2.4,3.5
2010,,4.5,2.8,5.1,3.5
2011,,0.5,1.2,,0.8
2012,,4.0,1.7,0.0,2.2
2013,,0.0,2.0,,1.3
2014,,0.0,1.0,2.3,1.0
2015,,0.0,0.0,1.2,0.1
2016,,0.0,0.3,0.0,0.2
2017,,0.5,0.3,,0.5
2018,,0.9,1.2,2.5,1.3
2019,,0.4,0.7,1.2,0.7
2020,,0.9,0.6,0.0,0.6
2021,,0.0,0.0,0.0,0.0
2022,,0.4,,0.0,0.6
2023,,0.0,0.3,0.0,0.2
2024,,,,0.0,
2025,,1.5,,0.0,1.6
