Year,Studio,1 Bedroom,2 Bedroom,3 Bedroom+,Total
1990,,,,,
1991,,,8.4,,9.1
1992,,5.9,,,3.8
1993,,4.8,5.5,5.2,4.5
1994,4.0,3.5,5.1,,4.3
1995,0.0,,0.0,0.0,1.1
1996,,,,5.6,2.3
1997,0.0,0.0,0.0,0.0,0.0
1998,,2.9,1.1,2.1,1.5
1999,0.0,,2.3,,2.1
2000,0.0,3.0,,0.0,3.2
2001,,,,,
2002,,,,,
2003,,2.9,3.1,3.2,2.5
2004,,,2.3,0.0,2.5
2005,0.0,,3.9,5.6,4.3
2006,,-3.6,0.0,0.0,-1.3
2007,2.8,2.5,2.1,2.4,2.3
2008,3.5,3.4,2.6,1.2,2.7
2009,1.5,1.4,1.2,4.0,1.5
2010,0.0,0.0,2.1,0.0,1.4
2011,0.0,,0.0,,
2012,0.0,2.8,2.5,0.0,2.4
2013,3.1,3.0,0.0,4.0,
2014,,2.3,1.8,2.4,2.1
2015,4.1,4.3,3.7,3.6,3.9
2016,,3.5,2.5,5.6,3.3
2017,,3.4,2.5,2.6,3.2
2018,3.2,4.9,4.8,4.2,4.7
2019,,6.0,5.2,5.2,5.4
2020,0.0,5.4,7.0,9.6,6.7
2021,,6.0,,3.1,4.9
2022,4.8,6.5,6.5,5.6,6.6
2023,4.0,7.2,,2.4,5.5
2024,0.0,,12.2,,10.8
2025,0.0,0.0,2.8,3.7,
