Year,Studio,1 Bedroom,2 Bedroom,3 Bedroom+,Total
1990,,,,,
1991,,-3.5,-2.8,5.4,-1.9
1992,,0.0,4.8,10.1,3.6
1993,,,,-3.4,
1994,,0.0,1.0,3.4,0.0
1995,,0.0,1.5,,3.3
1996,0.0,3.0,0.7,0.0,1.3
1997,,1.9,3.0,,2.5
1998,,1.9,1.6,,2.1
1999,,,4.9,,4.2
2000,,3.8,3.5,,3.3
2001,,4.5,3.7,0.0,4.1
2002,0.0,3.9,4.5,4.2,4.6
2003,,2.7,1.1,1.5,1.9
2004,2.7,1.0,1.8,,1.7
2005,,2.3,2.2,,2.1
2006,,-1.4,-0.9,,
2007,,0.0,0.6,,0.8
2008,,2.6,1.5,,1.8
2009,0.0,-3.4,0.6,0.0,-2.2
2010,,,0.5,5.7,
2011,,0.0,1.4,0.0,0.0
2012,,3.9,1.5,8.5,3.5
2013,,2.5,0.0,,1.9
2014,,8.7,10.3,,7.4
2015,,3.5,,,2.6
2016,,0.0,1.5,4.3,0.0
2017,,0.0,0.0,0.0,0.0
2018,,3.0,-5.6,5.8,0.0
2019,,,14.3,5.8,14.6
2020,,-5.7,,,
2021,,0.0,0.0,,0.0
2022,,0.0,,2.8,0.0
2023,,,,,
2024,,,,0.0,
2025,,,,0.0,
