Year,Studio,1 Bedroom,2 Bedroom,3 Bedroom+,Total
1990,,,,,
1991,,,,,
1992,,,,,
1993,,,,,
1994,,,,,
1995,,,,,
1996,,,,,
1997,,,,,
1998,,,,,
1999,,9.2,9.8,,9.1
2000,,8.4,12.1,9.4,10.6
2001,,12.6,11.4,,11.4
2002,,10.6,8.5,7.2,9.0
2003,,9.3,7.2,,7.8
2004,,8.7,7.6,11.4,8.5
2005,,6.2,7.4,,7.4
2006,,6.2,6.6,4.0,6.1
2007,4.2,6.2,5.7,5.2,5.8
2008,,7.3,6.4,8.0,7.1
2009,,7.6,6.7,5.4,6.9
2010,,6.0,7.8,7.6,7.1
2011,,7.2,7.0,5.3,6.8
2012,,5.5,4.1,4.9,4.7
2013,,4.3,5.3,2.8,4.7
2014,,3.6,5.2,,4.6
2015,,3.4,4.3,,3.9
2016,,2.8,2.9,4.8,3.2
2017,,3.3,2.4,1.3,2.7
2018,,1.7,2.6,1.2,2.1
2019,,2.8,3.2,,2.9
2020,,1.5,1.1,0.0,1.2
2021,,2.1,1.9,,2.0
2022,0.0,2.4,3.0,,2.8
2023,,3.3,3.3,,3.2
2024,,,3.7,,4.3
2025,0.0,4.5,5.0,,4.4
