Year,Studio,1 Bedroom,2 Bedroom,3 Bedroom+,Total
1990,,,,,
1991,,,,,
1992,,,,,
1993,3.3,3.0,4.2,3.9,3.7
1994,6.8,3.6,4.4,2.6,3.9
1995,5.3,4.1,4.3,3.1,4.1
1996,7.2,5.2,6.6,6.0,6.0
1997,3.7,4.8,5.3,5.5,5.1
1998,4.7,4.1,4.8,4.8,4.5
1999,3.1,2.7,4.1,3.6,3.5
2000,3.0,1.8,2.4,2.0,2.2
2001,2.7,1.1,1.8,2.0,1.6
2002,3.2,1.0,2.4,2.0,1.9
2003,3.1,1.9,2.1,3.4,2.2
2004,3.1,2.4,4.6,4.0,3.7
2005,3.5,2.8,5.4,3.3,4.2
2006,3.8,2.9,4.2,4.0,3.7
2007,3.0,2.4,4.5,4.4,3.7
2008,3.0,3.0,4.3,3.9,3.7
2009,3.5,3.7,6.0,5.2,5.0
2010,4.3,3.6,5.6,4.7,4.8
2011,3.3,3.1,4.1,5.5,3.8
2012,3.3,2.9,4.5,5.1,3.9
2013,5.0,2.5,3.7,4.6,3.4
2014,4.6,2.2,3.1,3.5,2.8
2015,2.9,2.2,3.4,3.5,3.0
2016,2.5,1.5,2.4,2.3,2.1
2017,3.5,1.7,1.9,1.8,1.8
2018,2.8,2.0,2.1,4.2,2.3
2019,3.1,1.9,1.7,1.2,1.8
2020,5.1,3.6,3.3,2.9,3.4
2021,2.2,2.1,1.8,1.7,1.9
2022,2.5,1.5,1.6,1.1,1.5
2023,1.4,1.5,1.8,1.3,1.7
2024,,2.8,2.8,1.3,2.7
2025,3.9,4.0,4.0,1.8,3.8
