Year,Studio,1 Bedroom,2 Bedroom,3 Bedroom+,Total
1990,0.0,0.6,0.2,0.0,0.3
1991,0.0,0.0,0.2,0.0,0.1
1992,8.3,0.2,0.2,0.0,0.3
1993,0.0,0.0,0.0,0.0,0.0
1994,0.0,0.7,0.0,0.0,0.3
1995,0.0,0.5,0.2,0.0,0.3
1996,0.0,0.4,0.2,0.0,0.3
1997,0.0,0.7,0.6,1.0,0.7
1998,0.0,0.0,0.5,,0.2
1999,0.0,0.0,0.0,1.2,0.1
2000,0.0,0.6,0.8,0.0,0.6
2001,0.0,0.4,0.0,1.0,0.2
2002,0.0,0.6,1.0,2.0,0.9
2003,0.0,1.2,1.3,3.8,1.4
2004,8.3,0.2,0.9,1.0,0.7
2005,0.0,2.6,2.4,1.0,2.3
2006,,1.5,0.8,,1.1
2007,,0.5,0.1,0.0,0.3
2008,,1.3,1.0,1.6,1.1
2009,,3.0,0.5,0.0,1.6
2010,,1.5,1.4,0.0,1.3
2011,,0.3,0.3,0.0,0.3
2012,,1.5,1.9,1.1,1.6
2013,,1.7,0.5,0.0,0.9
2014,,2.1,1.4,0.0,1.6
2015,,1.3,3.3,,2.5
2016,,1.2,1.3,,1.4
2017,,1.2,0.6,,0.9
2018,,1.7,1.1,,1.5
2019,,1.2,1.3,0.0,1.2
2020,,2.7,3.7,,3.1
2021,,3.3,1.4,0.0,2.1
2022,,1.2,0.4,0.9,0.8
2023,,0.6,0.3,0.0,0.4
2024,,2.2,1.8,0.0,2.0
2025,,3.2,0.3,,
