city,pct_units_2004_2011,pct_rent_2004_2011,pct_units_2011_2018,pct_rent_2011_2018,pct_units_2018_2025,pct_rent_2018_2025
ajax,0.88,1.17,20.03,20.69,32.52,38.76
barrie,-2.64,9.94,11.21,32.37,6.55,31.91
brampton,5.49,7.09,4.88,22.31,8.35,49.54
brantford,-2.16,14.8,4.56,25.91,4.6,53.98
burlington,5.38,15.99,5.8,28.12,0.8,41.82
cambridge,12.33,23.64,14.2,28.98,7.47,70.99
chatham-kent,-5.28,9.32,-0.98,17.98,11.57,70.04
clarington,4.8,7.01,15.96,39.06,3.13,45.33
greater sudbury,2.28,34.54,5.74,20.66,3.37,50.15
guelph,-6.07,9.93,7.86,26.31,13.42,55.25
hamilton,-2.92,6.1,3.61,38.03,2.68,42.62
kawartha lakes,-1.32,18.43,-0.4,11.21,-0.54,47.63
kingston,4.97,25.14,9.53,30.08,13.58,44.89
kitchener,2.76,12.87,10.47,28.57,12.21,52.38
london,7.27,15.75,7.94,23.57,8.62,52.8
markham,30.13,7.37,-0.61,24.03,0.25,45.25
milton,3.65,16.8,0.0,17.52,-13.68,40.6
mississauga,-2.82,9.07,0.79,24.59,4.61,40.65
newmarket,-18.43,14.17,32.49,23.59,31.61,76.6
niagara falls,-12.74,14.35,3.39,23.18,6.38,57.28
oakville,1.95,9.79,0.59,28.33,22.9,50.76
oshawa,-2.09,8.83,8.77,38.93,4.97,40.25
ottawa,-0.1,15.59,2.4,19.58,24.54,45.45
peterborough,8.48,15.63,2.38,20.16,4.39,38.41
richmond hill,0.29,11.97,-0.75,13.25,5.94,34.63
sault ste. marie,-1.65,18.65,2.49,33.38,5.17,49.38
st. catherines,-2.3,14.21,2.03,26.34,-3.17,47.88
thunder bay,-3.18,17.18,3.6,34.3,7.42,43.77
toronto,0.75,9.61,1.74,28.54,6.79,39.04
waterloo,-5.29,14.41,47.57,45.96,22.12,35.84
whitby,-6.15,14.84,1.02,16.72,-0.08,43.59
windsor,-0.23,-3.73,2.78,22.35,8.27,51.16
