Year,Population
1990,10189985
1991,10355101
1992,10488022
1993,10629994
1994,10744762
1995,10875308
1996,11009307
1997,11146270
1998,11292059
1999,11419589
2000,11576994
2001,11771945
2002,11979906
2003,12155691
2004,12303516
2005,12444755
2006,12587149
2007,12703327
2008,12814686
2009,12932742
2010,13059426
2011,13199081
2012,13325337
2013,13446276
2014,13563311
2015,13657423
2016,13774364
2017,13975516
2018,14199811
2019,14449986
2020,14718155
2021,14761811
2022,14947417
2023,15305369
2024,15823956
2025,16191372
